Begin Time - ss.msec,End Time - ss.msec,Common Ground
20.24,22.7,S0: STATEMENT(red = 10)
62.91,64.62,S1: STATEMENT(red = 10)
74.96,84.46,R1: RECOMMENDATION(red = blue?)
92.25,95.19,S2: STATEMENT(red = blue)
95.79,99,ACCEPT(S2)
108.58,112.17,S3: STATEMENT(red = 10 and blue = 10)
112.62,113.02,ACCEPT(S3)
131.62,132.99,S4: STATEMENT(green = 20)
133.23,134.17,ACCEPT(S4)
134.19,136.63,S5: STATEMENT(red = 10 and blue = 10 and green = 20)
147.96,154.32,S6: STATEMENT(green = 20)
154.47,159.75,S7: STATEMENT(purple > green)
161.42,163.86,R2: RECOMMENDATION(purple = ?)
164.07,168.25,S8: STATEMENT(purple > 20)
170.23,172.5,R3: RECOMMENDATION(purple = 30?)
174.48,183.63,S9: STATEMENT(purple = 30)
184.5,186.08,ACCEPT(S9)
199.38,200.84,S10: STATEMENT(purple = 30 and green = 20)
207.25,218.67,S11: STATEMENT(yellow = 50)
218.73,226.08,S12: STATEMENT(yellow = 50)
226.11,226.69,ACCEPT(S12)
233.58,236.64,S13: STATEMENT(yellow = 50 and purple = 30)
244.17,246.57,S14: STATEMENT(purple = 30)
