Begin Time - ss.msec,End Time - ss.msec,Common Ground
23.52,26.76,S0: STATEMENT(red =10) 
88.98,91.58,S1: STATEMENT(red = blue)
104.08,106.23,S2: STATEMENT(blue = 10)
119.13,120.16,R1: RECOMMENDATION(green = ?)
124.68,127.02,S4: STATEMENT(green = red + blue)
144.92,149.08,S5: STATEMENT(green = 20)
149.97,151.95,ACCEPT(S4)
152.31,153.75,S6: STATEMENT(red = 10 and blue = 10)
154.58,155.34,ACCEPT(S6)
158.13,164.17,S7: STATEMENT(green = 20)
165.56,166.59,ACCEPT(S7)
167.11,169.1,R2: RECOMMENDATION(purple = ?)
192.69,195.87,S8: STATEMENT(purple = 30)
195.93,199.5,DOUBT(S8)
221.4,225.41,S9: STATEMENT(purple = 30)
225.43,227.47,ACCEPT(S9)
233.61,236.49,R3: RECOMMENDATION(yellow = ?)
237.51,241.77,S10: STATEMENT(yellow > purple)
247.95,250.17,S12: STATEMENT(green = 20 and purple = 30)
255.36,258.01,S13: STATEMENT(yellow < green + purple)
258.08,260.67,ACCEPT(S13)
264.3,268.65,S14: STATEMENT(yellow > blue + purple)
271.92,275.16,S14: STATEMENT(yellow = 50)
