Begin Time - ss.msec,End Time - ss.msec,Common Ground
30.9,34.59,S0: STATEMENT(red = 10)
107.29,110.3,S1: STATEMENT(blue = 10)
110.3,112.42,ACCEPT(S1)
139.87,145.93,S2: STATEMENT(green = 20)
148.95,149.74,ACCEPT(S2)
152.57,155.75,S3: STATEMENT(green + red + blue = 40)
179.32,184.42,S4: STATEMENT(purple = 30)
192.91,202.58,S5: STATEMENT(green = 20 and purple = 30)
212.92,226.5,S6: STATEMENT(yellow = 50)
226.5,233.54,ACCEPT(S6)
243,246.75,DOUBT(S6)
394.04,397.36,S7: STATEMENT(yellow = 50)
422,433.33,ACCEPT(S7)
441.41,445.67,R1: RECOMMENDATION(yellow = 40?)
457.21,470.13,S8: STATEMENT(yellow = 50)
470.13,523.66,S9: STATEMENT(yellow = 50 and purple = 30 and blue = 10)
