Begin Time - ss.msec,End Time - ss.msec,Common Ground
21.12,24.51,S0: STATEMENT(red = 10)
63.42,66,S1: STATEMENT(red = 10)
72.45,76.17,S2: STATEMENT(red = blue)
80.52,85.29,ACCEPT(S2)
85.47,86.92,R1: RECOMMENDATION(20 = ?)
89.76,91.06,S3: STATEMENT(purple > red + blue)
102.35,104.28,S4: STATEMENT(green = 20)
104.76,109.2,R2: RECOMMENDATION(30 = ?)
116.79,125.37,S5: STATEMENT(red = 10 and green = 20)
130.66,135.96,R3: RECOMMENDATION(purple = 20?)
141.18,146.85,S6: STATEMENT(purple > 20 and purple < 30)
156.33,161.08,S7: STATEMENT(purple = 30)
164.46,166.67,ACCEPT(S7)
172.35,174.33,Q1: QUESTION(yellow = 40?)
177.57,178.08,S8: STATEMENT(yellow = 50)
180.33,182.31,DOUBT(S8)
186.24,190.92,S9: STATEMENT(yellow < 50)
192.61,195.21,S10: STATEMENT(purple = 30 and green = 20)
195.24,196.42,S11: STATEMENT( red = 10 and blue = 10)
201.21,202.25,S12: STATEMENT(yellow < purple + green)
205.44,209.58,S13: STATEMENT(purple + green = 50)
211.56,222.66,R4: RECOMMENDATION(yellow = 40?)
224.5,226.56,S14: STATEMENT(purple + blue = 40)
237.36,240.75,S15: STATEMENT(yellow = 50)
246.39,248.73,ACCEPT(S15)
