Begin Time - ss.msec,End Time - ss.msec,Common Ground
24.775,26.487,S0: STATEMENT(red = 10)
24.775,26.487,ACCEPT(S0)
56.08,57.08,Q1: QUESTION(red = 10?)
57.32,58.32,"A1: ANSWER(Q1, yes)"
69,70,R1: RECOMMENDATION(green = blue + red?)
81.08,82.08,S1: STATEMENT(green = 20 and blue = 10 and red = 10)
81.08,82.08,ACCEPT(S1)
86.91,87.91,R2: RECOMMENDATION(red = blue?)
97,98,S2: STATEMENT(red = blue)
97,98,ACCEPT(S2)
100.08,101.08,ACCEPT(S2)
101.85,102.85,S3: STATEMENT(green = 20 and red = 10 and blue = 10)
104.32,105.32,DOUBT(S3)
105.59,106.59,ACCEPT(S3)
109.92,110.92,DOUBT(S3)
118.17,119.17,S4: STATEMENT(red = blue)
118.17,119.17,ACCEPT(S4)
127.25,128.25,S5: STATEMENT(purple > green)
127.25,128.25,ACCEPT(S5)
130.08,131.08,R3: RECOMMENDATION(purple = green + 10)
141.91,142.91,S6: STATEMENT(purple = green + red)
141.91,142.91,ACCEPT(S6)
149.25,150.25,R4: RECOMMENDATION(purple = green + red + blue?)
201.56,202.56,S7: STATEMENT(purple > green + red)
201.56,202.56,ACCEPT(S7)
216,217,S8: STATEMENT(purple = around 30)
216,217,ACCEPT(S8)
218.78,219.78,ACCEPT(S8)
253.24,254.24,S9: STATEMENT(purple = 30 and green = 20 and yellow = 50)
253.24,254.24,ACCEPT(S9)
268.13,269.13,S10: STATEMENT(yellow < 50)
268.13,269.13,ACCEPT(S10)
269.72,270.72,ACCEPT(S10)
273,274,S11: STATEMENT(yellow = 50)
273,274,ACCEPT(S11)
274.81,275.81,R5: RECOMMENDATION(yellow + 10 = green + purple?)
285.57,286.57,S12: STATEMENT(yellow < 50)
285.57,286.57,ACCEPT(S12)
289.71,290.71,ACCEPT(S12)
304,305,S13: STATEMENT(yellow < 50)
304,305,ACCEPT(S13)
306.26,307.26,S14: STATEMENT(yellow = 50)
306.26,307.26,ACCEPT(S14)
311.48,312.48,S15: STATEMENT(purple = 30 and green = 20 and red = 10 and blue = 10)
311.48,312.48,ACCEPT(S15)
313.17,314.17,ACCEPT(S14)
