Begin Time - ss.msec,End Time - ss.msec,Common Ground
23.52,26.76,S0: STATEMENT(red =10) 
23.52,26.76,ACCEPT(S0)
88.98,91.58,S1: STATEMENT(red = blue)
88.98,91.58,ACCEPT(S1)
104.08,106.23,S2: STATEMENT(blue = 10)
104.08,106.23,ACCEPT(S2)
119.13,120.16,R1: RECOMMENDATION(green = ?)
124.68,127.02,S4: STATEMENT(green = red + blue)
124.68,127.02,ACCEPT(S4)
144.92,149.08,S5: STATEMENT(green = 20)
144.92,149.08,ACCEPT(S5)
149.97,151.95,ACCEPT(S4)
152.31,153.75,S6: STATEMENT(red = 10 and blue = 10)
152.31,153.75,ACCEPT(S6)
154.58,155.34,ACCEPT(S6)
158.13,164.17,S7: STATEMENT(green = 20)
158.13,164.17,ACCEPT(S7)
165.56,166.59,ACCEPT(S7)
167.11,169.1,R2: RECOMMENDATION(purple = ?)
192.69,195.87,S8: STATEMENT(purple = 30)
195.93,199.5,DOUBT(S8)
221.4,225.41,S9: STATEMENT(purple = 30)
221.4,225.41,ACCEPT(S9)
225.43,227.47,ACCEPT(S9)
233.61,236.49,R3: RECOMMENDATION(yellow = ?)
237.51,241.77,S10: STATEMENT(yellow > purple)
237.51,241.77,ACCEPT(S10)
247.95,250.17,S12: STATEMENT(green = 20 and purple = 30)
247.95,250.17,ACCEPT(S12)
255.36,258.01,S13: STATEMENT(yellow < green + purple)
255.36,258.01,ACCEPT(S13)
258.08,260.67,ACCEPT(S13)
264.3,268.65,S14: STATEMENT(yellow > blue + purple)
264.3,268.65,ACCEPT(S14)
271.92,275.16,S14: STATEMENT(yellow = 50)
271.92,275.16,ACCEPT(S14)
